crop_id,harvested_organ,yield_unit,nutrient_id,extraction_kg_per_unit,absorption_kg_per_unit,source,region,year,dataset_version
rice,grain,t_ha,P,3,4,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
rice,grain,t_ha,K,3,26,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
rice,grain,t_ha,Ca,0.1,3,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
rice,grain,t_ha,Mg,1,2,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
rice,grain,t_ha,S,0.6,1,Bertsch_F_2003_tabla10,andina_colombia,2003,v2
barley,grain,t_ha,N,15,26,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
barley,grain,t_ha,P,3,4,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
barley,grain,t_ha,K,5,20,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
barley,grain,t_ha,Mg,1,3,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
barley,grain,t_ha,S,2,4,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
sorghum,grain,t_ha,N,20,30,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
sorghum,grain,t_ha,P,4,4,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
sorghum,grain,t_ha,K,4,21,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
sorghum,grain,t_ha,Ca,0.9,,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
sorghum,grain,t_ha,Mg,1,5,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
sorghum,grain,t_ha,S,2,4,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
oats,grain,t_ha,N,20,34,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
oats,grain,t_ha,P,3,5,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
oats,grain,t_ha,K,3,20,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
oats,grain,t_ha,Mg,1,6,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
oats,grain,t_ha,S,1.8,6,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
plum,fruit,t_ha,N,4.5,6.5,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
plum,fruit,t_ha,P,0.6,0.9,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
plum,fruit,t_ha,K,4.2,6,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
plum,fruit,t_ha,Mg,,0.5,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
peach,fruit,t_ha,N,2.8,5.1,IFA_1992_tabla10,andina_colombia,1992,v2
peach,fruit,t_ha,P,0.5,0.7,IFA_1992_tabla10,andina_colombia,1992,v2
peach,fruit,t_ha,K,3,4.6,IFA_1992_tabla10,andina_colombia,1992,v2
peach,fruit,t_ha,Ca,0.2,0.8,IFA_1992_tabla10,andina_colombia,1992,v2
peach,fruit,t_ha,Mg,0.3,,IFA_1992_tabla10,andina_colombia,1992,v2
apple,fruit,t_ha,N,2.5,3.6,IFA_1992+Melgar_DiazZorita_1997_tabla10,andina_colombia,1997,v2
apple,fruit,t_ha,P,0.4,0.8,IFA_1992+Melgar_DiazZorita_1997_tabla10,andina_colombia,1997,v2
apple,fruit,t_ha,K,1.4,2.5,IFA_1992+Melgar_DiazZorita_1997_tabla10,andina_colombia,1997,v2
apple,fruit,t_ha,Ca,0.6,4.6,IFA_1992+Melgar_DiazZorita_1997_tabla10,andina_colombia,1997,v2
apple,fruit,t_ha,Mg,0.1,0.9,IFA_1992+Melgar_DiazZorita_1997_tabla10,andina_colombia,1997,v2
grape,fruit,t_ha,N,4.4,6.9,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
grape,fruit,t_ha,P,0.7,1,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
grape,fruit,t_ha,K,5,8,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
grape,fruit,t_ha,Ca,2.7,5.8,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
grape,fruit,t_ha,Mg,0.7,1,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
pear,fruit,t_ha,N,1.7,2.6,IFA_1992+Melgar_DiazZorita_1997_tabla10,andina_colombia,1997,v2
pear,fruit,t_ha,P,0.3,0.4,IFA_1992+Melgar_DiazZorita_1997_tabla10,andina_colombia,1997,v2
pear,fruit,t_ha,K,2.4,2.8,IFA_1992+Melgar_DiazZorita_1997_tabla10,andina_colombia,1997,v2
pear,fruit,t_ha,Ca,0.3,5.8,IFA_1992+Melgar_DiazZorita_1997_tabla10,andina_colombia,1997,v2
pear,fruit,t_ha,Mg,0.2,0.5,IFA_1992+Melgar_DiazZorita_1997_tabla10,andina_colombia,1997,v2
melon,fruit,t_ha,N,2.5,4,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
melon,fruit,t_ha,P,0.3,0.6,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
melon,fruit,t_ha,K,3.5,5.5,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
melon,fruit,t_ha,Ca,,3.3,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
melon,fruit,t_ha,Mg,,0.7,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
pineapple,fruit,t_ha,N,1,4,Bertsch_F_2003+Guerrero_2001_tabla10,andina_colombia,2003,v2
pineapple,fruit,t_ha,P,0.4,0.9,Bertsch_F_2003+Guerrero_2001_tabla10,andina_colombia,2003,v2
pineapple,fruit,t_ha,K,4.5,9.8,Bertsch_F_2003+Guerrero_2001_tabla10,andina_colombia,2003,v2
pineapple,fruit,t_ha,Mg,,1.6,Bertsch_F_2003+Guerrero_2001_tabla10,andina_colombia,2003,v2
pineapple,fruit,t_ha,S,,0.4,Bertsch_F_2003+Guerrero_2001_tabla10,andina_colombia,2003,v2
banana,fruit,t_ha,N,2,8.4,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
banana,fruit,t_ha,P,0.4,1.1,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
banana,fruit,t_ha,K,6,8.3,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
banana,fruit,t_ha,Ca,1,4,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
banana,fruit,t_ha,Mg,,1.5,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
banana,fruit,t_ha,S,,0.7,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
watermelon,fruit,t_ha,N,1,2,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
watermelon,fruit,t_ha,P,0.2,0.3,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
watermelon,fruit,t_ha,K,1,3,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
lemon,fruit,t_ha,N,1.6,6.3,IFA_1992_tabla10,andina_colombia,1992,v2
lemon,fruit,t_ha,P,0.2,0.7,IFA_1992_tabla10,andina_colombia,1992,v2
lemon,fruit,t_ha,K,1.7,4.4,IFA_1992_tabla10,andina_colombia,1992,v2
lemon,fruit,t_ha,Ca,0.7,,IFA_1992_tabla10,andina_colombia,1992,v2
lemon,fruit,t_ha,Mg,0.2,,IFA_1992_tabla10,andina_colombia,1992,v2
lemon,fruit,t_ha,S,0.1,,IFA_1992_tabla10,andina_colombia,1992,v2
mandarin,fruit,t_ha,N,1.5,4.4,IFA_1992_tabla10,andina_colombia,1992,v2
mandarin,fruit,t_ha,P,0.2,0.4,IFA_1992_tabla10,andina_colombia,1992,v2
mandarin,fruit,t_ha,K,2,4.5,IFA_1992_tabla10,andina_colombia,1992,v2
mandarin,fruit,t_ha,Ca,0.7,,IFA_1992_tabla10,andina_colombia,1992,v2
mandarin,fruit,t_ha,Mg,0.2,0.6,IFA_1992_tabla10,andina_colombia,1992,v2
mandarin,fruit,t_ha,S,0.1,0.5,IFA_1992_tabla10,andina_colombia,1992,v2
orange,fruit,t_ha,N,2,5.7,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
orange,fruit,t_ha,P,0.3,0.7,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
orange,fruit,t_ha,K,2.6,5.3,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
orange,fruit,t_ha,Ca,1,,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
orange,fruit,t_ha,Mg,0.4,0.7,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
orange,fruit,t_ha,S,0.5,0.8,Bertsch_F_2003+IFA_1992_tabla10,andina_colombia,2003,v2
tamarillo,fruit,t_ha,N,,4.8,Guerrero_2001_tabla10,andina_colombia,2001,v2
tamarillo,fruit,t_ha,P,,0.7,Guerrero_2001_tabla10,andina_colombia,2001,v2
tamarillo,fruit,t_ha,K,,5.6,Guerrero_2001_tabla10,andina_colombia,2001,v2
tamarillo,fruit,t_ha,Ca,,1.2,Guerrero_2001_tabla10,andina_colombia,2001,v2
tamarillo,fruit,t_ha,Mg,,0.5,Guerrero_2001_tabla10,andina_colombia,2001,v2
tamarillo,fruit,t_ha,S,,1,Guerrero_2001_tabla10,andina_colombia,2001,v2
avocado_hass,fruit,t_ha,N,,2.5,Torrez_Chinchilla_2007_tabla10,andina_colombia,2007,v2
avocado_hass,fruit,t_ha,P,,1,Torrez_Chinchilla_2007_tabla10,andina_colombia,2007,v2
avocado_hass,fruit,t_ha,K,,4.6,Torrez_Chinchilla_2007_tabla10,andina_colombia,2007,v2
avocado_hass,fruit,t_ha,Ca,,0.2,Torrez_Chinchilla_2007_tabla10,andina_colombia,2007,v2
avocado_hass,fruit,t_ha,Mg,,0.3,Torrez_Chinchilla_2007_tabla10,andina_colombia,2007,v2
avocado_hass,fruit,t_ha,S,,0.3,Torrez_Chinchilla_2007_tabla10,andina_colombia,2007,v2
mango,fruit,t_ha,N,,6.6,Guerrero_2001_tabla10,andina_colombia,2001,v2
mango,fruit,t_ha,P,,1.6,Guerrero_2001_tabla10,andina_colombia,2001,v2
mango,fruit,t_ha,K,,6.1,Guerrero_2001_tabla10,andina_colombia,2001,v2
mango,fruit,t_ha,Ca,,3,Guerrero_2001_tabla10,andina_colombia,2001,v2
mango,fruit,t_ha,Mg,,0.7,Guerrero_2001_tabla10,andina_colombia,2001,v2
mango,fruit,t_ha,S,,1,Guerrero_2001_tabla10,andina_colombia,2001,v2
